Fretboard Notes and Frequencies

    Copyright (c)  2010-2022 by Gary J. Teixeira Jr.
    Permission is granted to copy, distribute and/or modify this document
    under the terms of the GNU Free Documentation License, Version 1.3
    or any later version published by the Free Software Foundation;
    with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.
    A copy of the license is included in the section entitled "GNU
    Free Documentation License".

You may contact the writer of this document at: ambientmine@protonmail.com

6-String Guitar

-24 Frets
    S  6        5         4         3         2         1
    
    6  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    7  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    8  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    9  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    10 E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    11 F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    12 F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    13 G2   48   C3   65   F3   87   Bb4  116  D4   146  G4   195
    14 G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    15 A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    16 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    17 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    18 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    19 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    20 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    21 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    22 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    23 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    24 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369

-21 Frets
    S  6         5         4          3         2         1
    
    0  G1   24   C2   32   F2   43    Bb3  58   D3   73   G3   97
    1  G#1  25   C#2  34   F#2  46    B3   61   D#3  77   G#3  103
    2  A2   27   D2   36   G2   48    C3   65   E3   82   A4   110
    3  Bb2  29   D#2  38   G#2  51    C#3  69   F3   87   Bb4  116
    4  B2   30   E2   41   A3   55    D3   73   F#3  92   B4   123
    5  C2   32   F2   43   Bb3  58    D#3  77   G3   97   C4   130
    6  C#2  34   F#2  46   B3   61    E3   82   G#3  103  C#4  138
    7  D2   36   G2   48   C3   65    F3   87   A4   110  D4   146
    8  D#2  38   G#2  51   C#3  69    F#3  92   Bb4  116  D#4  155
    9  E2   41   A3   55   D3   73    G3   97   B4   123  E4   164
    10 F2   43   Bb3  58   D#3  77    G#3  103  C4   130  F4   174
    11 F#2  46   B3   61   E3   82    A4   110  C#4  138  F#4  184
    12 G2   48   C3   65   F3   87    Bb4  116  C4   146  G4   195
    13 G#2  51   C#3  69   F#3  92    B4   123  D#4  155  G#4  207
    14 A3   55   D3   73   G3   97    C4   130  E4   164  A5   220
    15 Bb3  58   D#3  77   G#3  103   C#4  138  F4   174  Bb5  233
    16 B3   61   E3   82   A4   110   D4   146  F#4  184  B5   246
    17 C3   65   F3   87   Bb4  116   D#4  155  G4   195  C5   261
    18 C#2  69   F#3  92   B4   123   E4   164  G#4  207  C#5  277
    19 D3   73   G3   97   C4   130   F4   174  A5   220  D5   293
    20 D#3  77   G#3  103  C#4  138   F#4  184  Bb5  233  D#5  311
    21 E3   82   A4   110  D4   146   G4   195  B5   246  E5   329
    22 F3   87   Bb4  116  D#4  155   G#4  207  C5   261  F5   349
    23 F#3  92   B4   123  E4   164   A5   220  C#5  277  F#5  369
    24 G3   97   C4   130  F4   174   Bb5  233  D5   293  G5   391

-20 Frets
    S  6         5         4         3         2         1
    
    0  G#1  25   C#2  34   F#2  46   B3   61   D#3  77   G#3  103
    1  A2   27   D2   36   G2   48   C3   65   E3   82   A4   110
    2  Bb2  29   D#2  38   G#2  51   C#3  69   F3   87   Bb4  116
    3  B2   30   E2   41   A3   55   D3   73   F#3  92   B4   123
    4  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    5  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    6  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    7  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    8  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    9  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    10 F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    11 G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    12 G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207    
    13 A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    14 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    15 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    16 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    17 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    18 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    19 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    20 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    21 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    22 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    23 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    24 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
  
-19 Frets
    S  6         5         4          3        2         1
    
    0  A2   27   D2   36   G2   48   C3   65   E3   82   A4   110
    1  Bb2  29   D#2  38   G#2  51   C#3  69   F3   87   Bb4  116
    2  B2   30   E2   41   A3   55   D3   73   F#3  92   B4   123
    3  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    4  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    5  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    6  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    7  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    8  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    9  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    10 G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    11 G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    12 A3   55   D3   73   G3   97   C4   130  E4   164  A5   220    
    13 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    14 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    15 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    16 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    17 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    18 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    19 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    20 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    21 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    22 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    23 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    24 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440

-18 Frets
    S  6        5          4         3         2         1
    
    0  Bb2  29   D#2  38   G#2  51   C#3  69   F3   87   Bb4  116
    1  B2   30   E2   41   A3   55   D3   73   F#3  92   B4   123
    2  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    3  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    4  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    5  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    6  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    7  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    8  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    9  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    10 G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    11 A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    12 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    13 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    14 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    15 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    16 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    17 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    18 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    19 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    20 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    21 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    22 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    23 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    24 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466

-17 Frets
    S  6         5         4         3         2         1
    
    0  B2   30   E2   41   A3   55   D3   73   F#3  92   B4   123
    1  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    2  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    3  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    4  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    5  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    6  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    7  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    8  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    9  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    10 A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    11 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    12 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    13 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    14 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    15 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    16 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    17 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    18 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    19 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    20 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    21 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    22 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    23 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    24 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493

-16 Frets
    S  6         5         4         3         2         1
    
    0  C2   32   F2   43   Bb3  58   D#3  77   G3   97   C4   130
    1  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    2  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    3  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    4  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    5  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    6  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    7  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    8  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    9  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    10 Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    11 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    12 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261    
    13 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    14 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    15 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    16 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    17 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    18 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    19 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    20 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    21 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    22 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    23 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    24 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523

-15 Frets
    S  6         5         4         3         2         1
    
    0  C#2  34   F#2  46   B3   61   E3   82   G#3  103  C#4  138
    1  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    2  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    3  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    4  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    5  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    6  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    7  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    8  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    9  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    10 B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    11 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    12 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    13 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    14 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    15 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    16 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    17 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    18 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    19 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    20 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    21 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    22 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    23 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523
    24 C#4  138  F#4  184  B5   246  E5   329  G#5  415  C#6  554

-14 Frets
    S  6         5         4         3         2         1
    
    0  D2   36   G2   48   C3   65   F3   87   A4   110  D4   146
    1  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    2  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    3  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    4  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    5  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    6  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    7  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    8  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    9  B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    10 C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    11 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    12 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    13 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    14 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    15 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    16 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    17 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    18 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    19 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    20 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    21 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    22 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523
    23 C#4  138  F#4  184  B5   246  E5   329  G#5  415  C#6  554
    24 D4   146  G4   195  C5   261  F5   349  A6   440  D6   587

-13 Frets
    S  6        5          4         3         2         1
    
    0  D#2  38   G#2  51   C#3  69   F#3  92   Bb4  116  D#4  155
    1  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    2  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    3  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    4  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    5  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    6  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    7  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    8  B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    9  C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    10 C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    11 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    12 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    13 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    14 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    15 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    16 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    17 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    18 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    19 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    20 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    21 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523
    22 C#4  138  F#4  184  B5   246  E5   329  G#5  415  C#6  554
    23 D4   146  G4   195  C5   261  F5   349  A6   440  D6   587
    24 D#4  155  G#4  207  C#5  277  F#5  369  Bb6  466  D#6  622

-12 Frets
    S  6         5         4         3        2         1
    
    0  E2   41   A3   55   D3   73   G3   97   B4   123  E4   164
    1  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    2  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    3  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    4  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    5  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    6  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    7  B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    8  C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    9  C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    10 D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    11 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    12 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    13 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    14 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    15 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    16 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    17 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    18 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    19 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    20 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523
    21 C#4  138  F#4  184  B5   246  E5   329  G#5  415  C#6  554
    22 D4   146  G4   195  C5   261  F5   349  A6   440  D6   587
    23 D#4  155  G#4  207  C#5  277  F#5  369  Bb6  466  D#6  622
    24 E4   164  A5   220  D5   293  G5   391  B6   493  E6   659

-11 Frets
    S  6         5         4         3         2         1
    
    0  F2   43   Bb3  58   D#3  77   G#3  103  C4   130  F4   174
    1  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    2  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    3  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    4  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    5  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    6  B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    7  C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    8  C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    9  D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    10 D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    11 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    12 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    13 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    14 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    15 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    16 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
    17 Bb4  116  D#4  155  G#4  207  C#5  277  F5   349  Bb6  466
    18 B4   123  E4   164  A5   220  D5   293  F#5  369  B6   493
    19 C4   130  F4   174  Bb5  233  D#5  311  G5   391  C6   523
    20 C#4  138  F#4  184  B5   246  E5   329  G#5  415  C#6  554
    21 D4   146  G4   195  C5   261  F5   349  A6   440  D6   587
    22 D#4  155  G#4  207  C#5  277  F#5  369  Bb6  466  D#6  622
    23 E4   164  A5   220  D5   293  G5   391  B6   493  E6   659
    24 F4   174  Bb5  233  D#5  311  G#5  415  C6   523  F6   698

-10 Frets
    S  6         5         4         3         2         1
    
    0  F#2  46   B3   61   E3   82   A4   110  C#4  138  F#4  184
    1  G2   48   C3   65   F3   87   Bb4  116  C4   146  G4   195
    2  G#2  51   C#3  69   F#3  92   B4   123  D#4  155  G#4  207
    3  A3   55   D3   73   G3   97   C4   130  E4   164  A5   220
    4  Bb3  58   D#3  77   G#3  103  C#4  138  F4   174  Bb5  233
    5  B3   61   E3   82   A4   110  D4   146  F#4  184  B5   246
    6  C3   65   F3   87   Bb4  116  D#4  155  G4   195  C5   261
    7  C#2  69   F#3  92   B4   123  E4   164  G#4  207  C#5  277
    8  D3   73   G3   97   C4   130  F4   174  A5   220  D5   293
    9  D#3  77   G#3  103  C#4  138  F#4  184  Bb5  233  D#5  311
    10 E3   82   A4   110  D4   146  G4   195  B5   246  E5   329
    11 F3   87   Bb4  116  D#4  155  G#4  207  C5   261  F5   349
    12 F#3  92   B4   123  E4   164  A5   220  C#5  277  F#5  369
    13 G3   97   C4   130  F4   174  Bb5  233  D5   293  G5   391
    14 G#3  103  C#4  138  F#4  184  B5   246  D#5  311  G#5  415
    15 A4   110  D4   146  G4   195  C5   261  E5   329  A6   440
